Date,Actual,Predicted,pred_diff,actual_diff,signal
2025-05-27,199.78936767578125,194.9175727814436,0.05781631,-6.077179,0
2025-05-28,199.99891662597656,199.85961554199457,0.070247866,4.929611,0
2025-05-29,199.5299072265625,200.0785486549139,0.07963203,0.20954895,0
2025-05-30,200.4280242919922,199.6311355829239,0.10122836,-0.4690094,0
2025-06-02,201.27622985839844,200.5539726316929,0.12594834,0.89811707,0
2025-06-03,202.84292602539065,201.4218318760395,0.14560202,0.84820557,0
2025-06-04,202.39389038085935,202.99618187546733,0.15325585,1.5666962,0
2025-06-05,200.20849609375,202.55265060067174,0.15876022,-0.44903564,0
2025-06-06,203.49156188964844,200.37004800140858,0.16155191,-2.1853943,0
2025-06-09,201.0267639160156,203.65628570318222,0.16472381,3.2830658,0
2025-06-10,202.2441864013672,201.186577796936,0.15981388,-2.464798,0
2025-06-11,198.36236572265625,202.40902329981327,0.1648369,1.2174225,0
2025-06-12,198.78147888183597,198.51585434377193,0.15348862,-3.8818207,0
2025-06-13,196.03726196289065,198.94127979874614,0.15980092,0.41911316,0
2025-06-16,198.0031280517578,196.20443646609786,0.1671745,-2.744217,0
2025-06-17,195.2289581298828,198.17643496394157,0.17330691,1.965866,0
2025-06-18,196.1669769287109,195.40743906795979,0.17848094,-2.7741697,0
2025-06-20,200.57769775390625,196.3548149615526,0.18783803,0.9380188,0
2025-06-23,201.07666015625,200.7712168097496,0.19351906,4.410721,0
2025-06-24,199.87918090820312,201.279609054327,0.2029489,0.4989624,0
2025-06-25,201.13653564453125,200.09049519896507,0.21131429,-1.1974792,0
2025-06-26,200.57769775390625,201.35450966656208,0.21797402,1.2573547,0
2025-06-27,200.65753173828125,200.79583977162838,0.21814202,-0.55883783,0
2025-06-30,204.7389373779297,200.87931856513023,0.22178683,0.079833984,0
2025-07-01,207.3833770751953,204.9615103006363,0.22257292,4.0814056,0
2025-07-02,211.99366760253903,207.6112598478794,0.22788277,2.6444397,0
2025-07-03,213.10134887695312,212.2347228825092,0.24105528,4.6102905,0
2025-07-07,209.50889587402344,213.35265070199966,0.25130183,1.1076813,0
2025-07-08,209.5687713623047,209.7667330801487,0.2578372,-3.592453,0
2025-07-09,210.69639587402344,209.82721084356308,0.25843948,0.05987549,0
2025-07-10,211.96372985839844,210.95660483837128,0.26020896,1.1276245,0
2025-07-11,210.7163543701172,212.22394400835037,0.26021415,1.267334,0
2025-07-14,208.1816864013672,210.97583037614822,0.259476,-1.2473754,0
2025-07-15,208.6706695556641,208.4401514530182,0.25846505,-2.534668,0
2025-07-16,209.71847534179688,208.92350560426715,0.25283605,0.48898315,0
2025-07-17,209.5787506103516,209.96824115514755,0.24976581,1.0478058,0
2025-07-18,210.7363128662109,209.82515256106856,0.24640195,-0.13972473,0
2025-07-21,212.0335693359375,210.98278033733365,0.24646747,1.1575623,0
2025-07-22,213.94955444335935,212.2764373421669,0.242868,1.2972565,0
2025-07-23,213.7000732421875,214.17743685841558,0.22788242,1.9159851,0
2025-07-24,213.31088256835935,213.9287884682417,0.22871523,-0.2494812,0
2025-07-25,213.4306488037109,213.53789132833478,0.22700876,-0.38919067,0
2025-07-28,213.6002960205078,213.656124651432,0.22547585,0.119766235,0
2025-07-29,210.8261260986328,213.81967690587044,0.21938089,0.16964722,0
2025-07-30,208.6107940673828,211.0328043848276,0.20667829,-2.7741697,0
2025-07-31,207.1339111328125,208.80880218744278,0.19800812,-2.215332,0
2025-08-01,201.95481872558597,207.32677802443504,0.19286689,-1.476883,0
2025-08-04,202.9227752685547,202.14604200422767,0.19122328,-5.1790924,0
2025-08-05,202.49366760253903,203.11447931826115,0.19170405,0.9679565,0
2025-08-06,212.80197143554688,202.69170838594434,0.19804078,-0.42910767,0
2025-08-07,219.56771850585935,213.01188151538372,0.20991008,10.308304,0
2025-08-08,228.8681488037109,219.7987238615751,0.23100536,6.765747,0
2025-08-11,226.95997619628903,229.12180906534192,0.25366026,9.30043,0
2025-08-12,229.42758178710935,227.23509448766706,0.2751183,-1.9081726,0
2025-08-13,233.10403442382807,229.72232687473294,0.2947451,2.4676056,0
2025-08-14,232.5545654296875,233.40137678384775,0.29734236,3.6764524,0
2025-08-15,231.3657073974609,232.84828475117683,0.29371932,-0.549469,0
2025-08-18,230.66639709472656,231.6578930020332,0.2921856,-1.188858,0
2025-08-19,230.3367156982422,230.94848728179932,0.2820902,-0.6993103,0
2025-08-20,225.7911071777344,230.60691583156586,0.27020013,-0.3296814,0
2025-08-21,224.68218994140625,226.04841366410258,0.2573065,-4.5456085,0
2025-08-22,227.53941345214844,224.9211309403181,0.238941,-1.1089171,0
2025-08-25,226.94000244140625,227.76218616962433,0.22277272,2.8572235,0
2025-08-26,229.08792114257807,227.15413330495358,0.21413086,-0.599411,0
2025-08-27,230.26678466796875,229.29238231480116,0.20446117,2.1479187,0
2025-08-28,232.33477783203125,230.46528881788254,0.19850415,1.1788635,0
2025-08-29,231.9151763916016,232.52532875537872,0.19055092,2.0679932,0
2025-09-02,229.49752807617188,232.08628956973556,0.17111318,-0.41960144,0
2025-09-03,238.2390594482422,229.65145540237427,0.15392733,-2.4176483,0
2025-09-04,239.5477752685547,238.37438797950745,0.13532853,8.741531,0
2025-09-05,239.45787048339844,239.67876522243023,0.13098995,1.3087158,0
2025-09-08,237.64962768554688,239.57517206668854,0.11730158,-0.089904785,0
2025-09-09,234.123046875,237.75533283501863,0.10570515,-1.8082428,0
2025-09-10,226.5703582763672,234.22321385145187,0.10016698,-3.5265808,0
2025-09-11,229.8072204589844,226.6756651699543,0.10530689,-7.5526886,0
2025-09-12,233.84332275390625,229.91470708698037,0.10748663,3.2368622,0
2025-09-15,236.47076416015625,233.9604767933488,0.11715404,4.0361023,0
2025-09-16,237.9193572998047,236.6012959778309,0.13053182,2.6274414,0
2025-09-17,238.7585601806641,238.06455029547215,0.145193,1.4485931,0
2025-09-18,237.64962768554688,238.91816458106044,0.1596044,0.8392029,0
2025-09-19,245.26223754882807,237.81679065525532,0.16716297,-1.1089325,0
2025-09-22,255.8319854736328,245.43543006479734,0.17319252,7.61261,0
2025-09-23,254.18359375,256.01557917892933,0.1835937,10.569748,0
2025-09-24,252.06564331054688,254.38114623725414,0.19755249,-1.6483918,0
2025-09-25,256.6212158203125,252.27855171263218,0.2129084,-2.1179504,0
2025-09-26,255.2126007080078,256.8400900065899,0.21887419,4.5555725,0
2025-09-29,254.18359375,255.43813037872314,0.22552967,-1.4086151,0
2025-09-30,254.38340759277344,254.40757915377617,0.2239854,-1.029007,0
2025-10-01,255.20260620117188,254.59667906165123,0.21327147,0.19981384,0
2025-10-02,256.8809814453125,255.40251913666725,0.19991294,0.81919867,0
2025-10-03,257.7701110839844,257.0608516037464,0.17987016,1.6783754,0
2025-10-06,256.44140625,257.9372504502535,0.16713937,0.88912964,0
2025-10-07,256.23162841796875,256.59308786690235,0.15168162,-1.3287048,0
2025-10-08,257.8100891113281,256.3695468008518,0.13791838,-0.20977783,0
2025-10-09,253.79396057128903,257.933807477355,0.123718366,1.5784608,0
2025-10-10,245.032470703125,253.9054978340864,0.11153726,-4.0161285,0
2025-10-13,247.42015075683597,245.13499857485294,0.10252787,-8.76149,0
2025-10-14,247.5300445556641,247.5176607742906,0.09751002,2.38768,0
2025-10-15,249.09852600097656,247.63019596040252,0.100151405,0.1098938,0
2025-10-16,247.2103576660156,249.2034351825714,0.10490918,1.5684816,0
2025-10-17,252.045654296875,247.32162516564128,0.1112675,-1.8881683,0
2025-10-20,261.98602294921875,252.1597599312663,0.114105634,4.8352966,0
2025-10-21,262.5155029296875,262.0865066796541,0.10048373,9.940369,0
2025-10-22,258.19970703125,262.61150681972504,0.09600389,0.52948,0
2025-10-23,259.3285827636719,258.30259783566,0.102890804,-4.315796,0
2025-10-24,262.56549072265625,259.44265120476484,0.11406844,1.1288757,0
2025-10-27,268.5496520996094,262.68816363811493,0.122672915,3.236908,0
2025-10-28,268.7394714355469,268.681480884552,0.13182878,5.9841614,0
2025-10-29,269.4388122558594,268.87772937119007,0.13825794,0.18981934,0
2025-10-30,271.1371459960937,269.582335755229,0.1435235,0.6993408,0
2025-10-31,270.108154296875,271.2817554920911,0.1446095,1.6983337,0
2025-11-03,268.7894287109375,270.2550746500492,0.14692035,-1.0289917,0
2025-11-04,269.7784729003906,268.9385018199682,0.14907311,-1.3187256,0
2025-11-05,269.8783874511719,269.9286477714777,0.15017487,0.98904425,0
2025-11-06,269.5087280273437,270.02873703837395,0.15034959,0.09991455,0
2025-11-07,268.2099914550781,269.65517939627165,0.14645137,-0.36965942,0
2025-11-10,269.42999267578125,268.35025338828564,0.14026193,-1.2987366,0
2025-11-11,275.25,269.56448343396187,0.13449076,1.2200012,0
2025-11-12,273.4700012207031,275.37697952985764,0.12697953,5.8200073,0
2025-11-13,272.95001220703125,273.5941191315651,0.12411791,-1.7799988,0
2025-11-14,272.4100036621094,273.070200458169,0.12018825,-0.519989,0
2025-11-17,267.4599914550781,272.52462492883205,0.11462127,-0.54000854,0
2025-11-18,267.44000244140625,267.56516520678997,0.10517375,-4.9500117,0
2025-11-19,268.5599975585937,267.53251637518406,0.092513934,-0.019988999,0
2025-11-20,266.25,268.6507402211427,0.09074266,1.1199951,0
2025-11-21,271.489990234375,266.34257642924786,0.09257643,-2.3099976,0
2025-11-24,275.9200134277344,271.5858805924654,0.09589036,5.23999,0
2025-11-25,276.9700012207031,276.0223685950041,0.10235517,4.430023,0
2025-11-26,277.54998779296875,277.0804084017873,0.11040718,1.0499878,0
2025-11-28,278.8500061035156,277.66971568763256,0.119727895,0.5799866,0
2025-12-01,283.1000061035156,278.97555680572987,0.1255507,1.3000183,0
2025-12-02,286.19000244140625,283.2248087823391,0.12480268,4.25,0
2025-12-03,284.1499938964844,286.30992767214775,0.11992523,3.0899963,0
2025-12-04,280.70001220703125,284.27011765539646,0.12012376,-2.0400085,0
2025-12-05,278.7799987792969,280.8213063031435,0.121294096,-3.449982,0
2025-12-08,277.8900146484375,278.90380524098873,0.12380646,-1.9200134,0
2025-12-09,277.17999267578125,278.0153316408396,0.12531699,-0.88998413,0
2025-12-10,278.7799987792969,277.305482596159,0.12548992,-0.710022,0
2025-12-11,278.0299987792969,278.90550845861435,0.12550968,1.6000061,0
2025-12-12,278.2799987792969,278.15664245188236,0.12664367,-0.75,0
2025-12-15,274.1099853515625,278.40691266953945,0.12691389,0.25,0
2025-12-16,274.6099853515625,274.2348381578922,0.12485281,-4.1700134,0
2025-12-17,271.8399963378906,274.73307410627604,0.123088755,0.5,0
2025-12-18,272.19000244140625,271.9621625468135,0.12216621,-2.7699888,0
2025-12-19,273.6700134277344,272.3085806965828,0.118578255,0.3500061,0
